,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,487,578803,1225,43,43.00,-107.5,-107.50,%,%null%,39.76,0.74
1,True,Wisconsin,4120,5895908,11215,44.5,44.50,-90,-90.00,%,%null%,36.74,0.38
2,True,West Virginia,1536,1782959,3719,38.63,38.63,-80.73,-80.73,%,%null%,41.30,0.82
3,True,Washington,6369,7738692,15523,47.5,47.50,-120.5,-120.50,%,%null%,41.03,0.8
4,True,Virginia,5586,8642274,16623,37.77,37.77,-78.24,-78.24,%,%null%,33.60,0.24
5,True,Vermont,546,645570,1291,44.1584,44.16,-72.7678,-72.77,%,%null%,42.29,0.92
6,True,Utah,3171,3337975,8521,39.25,39.25,-111.75,-111.75,%,%null%,37.21,0.44
7,True,Texas,16673,29527941,49155,31.25,31.25,-99.25,-99.25,%,%null%,33.92,0.3
8,True,Tennessee,5772,6975218,13822,35.75,35.75,-86.25,-86.25,%,%null%,41.76,0.86
9,True,South Dakota,653,895376,1701,44.5,44.50,-100.25,-100.25,%,%null%,38.39,0.6
10,True,South Carolina,3292,5190705,8612,34,34.00,-81,-81.00,%,%null%,38.23,0.56
11,True,Rhode Island,594,1095610,1757,41.4966,41.50,-71.4757,-71.48,%,%null%,33.81,0.28
12,True,Pennsylvania,8373,12964056,22959,40.86,40.86,-77.9,-77.90,%,%null%,36.47,0.34
13,True,Oregon,4171,4246155,8910,44,44.00,-120.5,-120.50,%,%null%,46.81,1
14,True,Oklahoma,3909,3986639,8457,35.5,35.50,-97.5,-97.50,%,%null%,46.22,0.98
15,True,Ohio,8664,11780017,22633,40.25,40.25,-83,-83.00,%,%null%,38.28,0.58
16,True,North Dakota,555,774948,1474,47.5,47.50,-100,-100.00,%,%null%,37.65,0.52
17,True,North Carolina,6520,10551162,17490,35.5,35.50,-80,-80.00,%,%null%,37.28,0.46
18,True,New York,9838,19835913,31488,43,43.00,-75.49,-75.49,%,%null%,31.24,0.06
19,True,New Mexico,1305,2115877,3287,34.5,34.50,-106,-106.00,%,%null%,39.70,0.72
20,True,New Jersey,4054,9267130,13991,40.16,40.16,-74.49,-74.49,%,%null%,28.98,0.02
21,True,New Hampshire,1055,1388992,2514,43.66,43.66,-71.49,-71.49,%,%null%,41.96,0.9
22,True,Nevada,1920,3143991,5074,39.25,39.25,-116.75,-116.75,%,%null%,37.84,0.54
23,True,Nebraska,1444,1963692,3919,41.5,41.50,-99.75,-99.75,%,%null%,36.85,0.4
24,True,Montana,916,1104271,2046,47,47.00,-109.75,-109.75,%,%null%,44.77,0.96
25,True,Missouri,4826,6168187,11534,38.25,38.25,-92.5,-92.50,%,%null%,41.84,0.88
26,True,Mississippi,2297,2949965,6132,33.503,33.50,-89.8071,-89.81,%,%null%,37.46,0.48
27,True,Minnesota,4075,5707390,10824,46.25,46.25,-94.25,-94.25,%,%null%,37.65,0.5
28,True,Michigan,6929,10050811,18801,43.1045,43.10,-84.6165,-84.62,%,%null%,36.85,0.42
29,True,Massachusetts,3960,6984723,12102,42.3616,42.36,-72.1839,-72.18,%,%null%,32.72,0.12
30,True,Maryland,3191,6165129,9947,39.4444,39.44,-77.0834,-77.08,%,%null%,32.08,0.1
31,True,Maine,1302,1372247,2913,45.5,45.50,-69.24,-69.24,%,%null%,44.70,0.94
32,True,Louisiana,2395,4624047,6222,30.6935,30.69,-92.241,-92.24,%,%null%,38.49,0.62
33,True,Kentucky,3757,4509394,9050,37.79,37.79,-84.87,-84.87,%,%null%,41.51,0.84
34,True,Kansas,2279,2934582,5758,38.5,38.50,-98.5,-98.50,%,%null%,39.58,0.68
35,True,Iowa,2555,3193079,6366,42,42.00,-93.5,-93.50,%,%null%,40.14,0.76
36,True,Indiana,5803,6805985,14796,40,40.00,-86.25,-86.25,%,%null%,39.22,0.66
37,True,Illinois,7332,12671469,22264,40,40.00,-89.25,-89.25,%,%null%,32.93,0.14
38,True,Idaho,1518,1900923,3902,44.0739,44.07,-114.542,-114.54,%,%null%,38.90,0.64
39,True,Hawaii,763,1441553,2731,20.79,20.79,-156.34,-156.34,%,%null%,27.94,0
40,True,Georgia,6348,10799566,18997,32.1598,32.16,-83.4715,-83.47,%,%null%,33.42,0.2
41,True,Florida,11290,21781128,33417,28.42,28.42,-81.55,-81.55,%,%null%,33.79,0.26
42,True,District of Columbia,531,670050,1657,38.91,38.91,-77,-77.00,%,%null%,32.05,0.08
43,True,Delaware,731,1003384,2204,38.6716,38.67,-75.4165,-75.42,%,%null%,33.17,0.18
44,True,Connecticut,2219,3605597,6710,41.6227,41.62,-72.7028,-72.70,%,%null%,33.07,0.16
45,True,Colorado,5647,5812069,13781,39,39.00,-105.5,-105.50,%,%null%,40.98,0.78
46,True,California,20486,39237836,66342,37.25,37.25,-119.75,-119.75,%,%null%,30.88,0.04
47,True,Arkansas,2529,3025891,6379,34.75,34.75,-92.5,-92.50,%,%null%,39.65,0.7
48,True,Arizona,4728,7276316,12897,34.5,34.50,-111.5,-111.50,%,%null%,36.66,0.36
49,True,Alaska,784,732673,2337,64,64.00,-150,-150.00,%,%null%,33.55,0.22
50,True,Alabama,3415,5039877,9566,32.75,32.75,-86.75,-86.75,%,%null%,35.70,0.32
