Site_Count,state,county
13,08,001
7,08,003
12,08,005
1,08,007
2,08,009
3,08,011
11,08,013
1,08,014
3,08,015
4,08,021
3,08,023
3,08,025
1,08,029
68,08,031
1,08,033
1,08,035
25,08,041
8,08,043
1,08,047
4,08,049
1,08,055
12,08,059
2,08,061
2,08,063
4,08,067
4,08,065
5,08,069
3,08,071
2,08,073
2,08,075
6,08,077
2,08,081
6,08,083
3,08,085
8,08,087
14,08,089
1,08,093
8,08,099
16,08,101
3,08,105
4,08,107
3,08,109
1,08,113
13,08,117
1,08,119
13,08,123
1,08,125
